Interval Size;Interval Size;Return Frequency of Peak Duration;Rainfall of Peak Duration;Interval Start Date;Interval Ending on Date
water year = 1957-1958
21;21;1.3452830188679245283018867925;5.42;4/15/1961;5/6/1961
22;22;1.1407407407407407407407407407;5.43;4/15/1961;5/7/1961
23;23;0;5.43;4/14/1961;5/7/1961
24;24;2.1036717062634989200863930885;6.18;4/15/1961;5/9/1961
25;25;1.8333333333333333333333333333;6.18;4/14/1961;5/9/1961
26;26;1.6172413793103448275862068966;6.18;4/15/1961;5/11/1961
27;27;1.6627118644067796610169491525;6.33;4/12/1961;5/9/1961
28;28;1.4733333333333333333333333333;6.34;4/11/1961;5/9/1961
29;29;1.273772131147540983606557377;6.340001;4/11/1961;5/10/1961
30;30;1.1129048387096774193548387097;6.360001;4/15/1961;5/15/1961
31;31;0;6.36;4/15/1961;5/16/1961
32;32;0;6.36;4/15/1961;5/17/1961
33;33;0;6.51;4/12/1961;5/15/1961
34;34;0;6.52;4/11/1961;5/15/1961
35;35;0;6.52;4/10/1961;5/15/1961
36;36;0;6.52;4/9/1961;5/15/1961
37;37;0;6.64;8/18/1961;9/24/1961
38;38;0;6.960001;8/18/1961;9/25/1961
39;39;0;6.970001;8/18/1961;9/26/1961
40;40;0;6.97;8/18/1961;9/27/1961
41;41;0;7.05;8/18/1961;9/28/1961
42;42;0;7.05;8/18/1961;9/29/1961
43;43;0;7.050001;8/16/1961;9/28/1961
44;44;0;7.18;7/22/1961;9/4/1961
45;45;0;7.28;7/22/1961;9/5/1961
46;46;0;7.279999;7/22/1961;9/6/1961
47;47;1.7100597718172204710232214905;8.58;4/15/1961;6/1/1961
48;48;1.5889724310776942355889724311;8.58;4/14/1961;6/1/1961
49;49;1.6069379054244035608602645996;8.690001;4/15/1961;6/3/1961
50;50;1.5387752902957998792653554019;8.73;4/12/1961;6/1/1961
51;51;1.4358377723970944309927360775;8.740002;4/11/1961;6/1/1961
52;52;1.4429383251948624081653663868;8.840001;4/12/1961;6/3/1961
53;53;1.343331344386196706871812357;8.85;4/11/1961;6/3/1961
54;54;1.2341920374707259953161592506;8.85;4/10/1961;6/3/1961
55;55;1.4749048165655662415313673866;9.150001;4/15/1961;6/9/1961
56;56;1.366693137244790968376253485;9.150001;4/15/1961;6/10/1961
57;57;1.6349206349206349206349206349;9.48;4/15/1961;6/11/1961
58;58;1.538520309423505191650726158;9.490001;4/15/1961;6/12/1961
59;59;1.4885257768930053260291493786;9.54;4/15/1961;6/13/1961
60;60;1.4835153846153846153846153846;9.629999;4/12/1961;6/11/1961
water year = 1961-1962
1;1;0;1.58;9/13/1962;9/14/1962
2;2;0;1.58;9/13/1962;9/15/1962
3;3;0;2.4;11/13/1961;11/16/1961
4;4;0;2.41;11/12/1961;11/16/1961
5;5;0;2.41;11/12/1961;11/17/1961
6;6;0;2.41;11/11/1961;11/17/1961
7;7;0;2.41;11/11/1961;11/18/1961
8;8;0;2.41;11/12/1961;11/20/1961
9;9;0;2.56;9/8/1962;9/17/1962
10;10;0;2.73;11/13/1961;11/23/1961
11;11;0;2.88;6/22/1962;7/3/1962
12;12;0;3.01;6/11/1962;6/23/1962
13;13;0;3.12;6/10/1962;6/23/1962
14;14;0;3.46;6/9/1962;6/23/1962
15;15;0;3.58;6/18/1962;7/3/1962
16;16;0;3.82;6/17/1962;7/3/1962
17;17;0;3.82;6/16/1962;7/3/1962
18;18;0;3.82;6/16/1962;7/4/1962
19;19;0;3.82;6/16/1962;7/5/1962
20;20;0;3.85;6/18/1962;7/8/1962
21;21;0;4.09;6/17/1962;7/8/1962
22;22;0;4.84;6/11/1962;7/3/1962
23;23;0;4.95;6/10/1962;7/3/1962
24;24;0;5.29;6/9/1962;7/3/1962
25;25;0;5.289999;6/8/1962;7/3/1962
26;26;0;5.29;6/9/1962;7/5/1962
27;27;0;5.29;6/6/1962;7/3/1962
28;28;0;5.33;6/5/1962;7/3/1962
29;29;0;5.58;6/4/1962;7/3/1962
30;30;0;5.68;6/3/1962;7/3/1962
31;31;0;5.73;6/11/1962;7/12/1962
32;32;0;5.839999;6/10/1962;7/12/1962
33;33;0;6.18;6/9/1962;7/12/1962
34;34;0;6.18;6/9/1962;7/13/1962
35;35;0;6.22;6/9/1962;7/14/1962
36;36;0;6.299999;6/17/1962;7/23/1962
37;37;0;6.3;6/16/1962;7/23/1962
38;38;0;6.47;6/4/1962;7/12/1962
39;39;0;6.57;6/3/1962;7/12/1962
40;40;0;6.789999;6/11/1962;7/21/1962
41;41;0;7.029999;6/11/1962;7/22/1962
42;42;0;7.319999;6/11/1962;7/23/1962
43;43;0;7.48;6/9/1962;7/22/1962
44;44;1.0438592682358792577358654419;7.77;6/9/1962;7/23/1962
45;45;0;7.77;6/8/1962;7/23/1962
46;46;0;7.8;6/9/1962;7/25/1962
47;47;0;7.799999;6/9/1962;7/26/1962
48;48;0;7.809999;6/5/1962;7/23/1962
49;49;0;8.059999;6/4/1962;7/23/1962
50;50;0;8.16;6/3/1962;7/23/1962
51;51;0;8.159999;6/2/1962;7/23/1962
52;52;0;8.19;6/3/1962;7/25/1962
53;53;0;8.19;6/3/1962;7/26/1962
54;54;0;8.19;6/2/1962;7/26/1962
55;55;0;8.219999;6/4/1962;7/29/1962
56;56;0;8.619999;6/11/1962;8/6/1962
57;57;0;8.73;6/10/1962;8/6/1962
58;58;1.067315880112415646193630902;9.07;6/9/1962;8/6/1962
59;59;0;9.07;6/9/1962;8/7/1962
60;60;0;9.07;6/8/1962;8/7/1962
water year = 1962-1963
1;1;0;1.26;7/13/1963;7/14/1963
2;2;0;1.26;7/13/1963;7/15/1963
3;3;0;1.35;6/6/1963;6/9/1963
4;4;0;1.35;6/6/1963;6/10/1963
5;5;0;1.68;4/18/1963;4/23/1963
6;6;0;1.88;4/17/1963;4/23/1963
7;7;0;1.88;4/17/1963;4/24/1963
8;8;0;1.88;4/15/1963;4/23/1963
9;9;0;1.88;4/17/1963;4/26/1963
10;10;0;2.05;5/8/1963;5/18/1963
11;11;0;2.05;5/7/1963;5/18/1963
12;12;0;2.46;4/18/1963;4/30/1963
13;13;0;2.66;4/17/1963;4/30/1963
14;14;0;2.66;4/16/1963;4/30/1963
15;15;0;2.66;4/15/1963;4/30/1963
16;16;0;2.78;4/18/1963;5/4/1963
17;17;0;2.98;4/17/1963;5/4/1963
18;18;0;3.09;4/22/1963;5/10/1963
19;19;0;3.09;4/21/1963;5/10/1963
20;20;0;3.15;4/28/1963;5/18/1963
21;21;0;3.41;4/22/1963;5/13/1963
22;22;0;3.93;4/18/1963;5/10/1963
23;23;0;4.13;4/17/1963;5/10/1963
24;24;0;4.13;4/16/1963;5/10/1963
25;25;0;4.25;4/18/1963;5/13/1963
26;26;0;4.45;4/17/1963;5/13/1963
27;27;0;4.45;4/17/1963;5/14/1963
28;28;0;4.45;4/15/1963;5/13/1963
29;29;0;4.45;4/14/1963;5/13/1963
30;30;0;4.829999;4/18/1963;5/18/1963
31;31;0;5.03;4/17/1963;5/18/1963
32;32;0;5.03;4/17/1963;5/19/1963
33;33;0;5.03;4/15/1963;5/18/1963
34;34;0;5.03;4/16/1963;5/20/1963
35;35;0;5.03;4/15/1963;5/20/1963
36;36;0;5.03;4/12/1963;5/18/1963
37;37;0;5.03;4/16/1963;5/23/1963
38;38;0;5.03;4/13/1963;5/21/1963
39;39;0;5.03;4/9/1963;5/18/1963
40;40;0;5.07;4/18/1963;5/28/1963
41;41;0;5.27;4/17/1963;5/28/1963
42;42;0;5.27;4/17/1963;5/29/1963
43;43;0;5.27;4/15/1963;5/28/1963
44;44;0;5.27;4/17/1963;5/31/1963
45;45;0;5.27;4/14/1963;5/29/1963
46;46;0;5.27;4/17/1963;6/2/1963
47;47;0;5.27;4/11/1963;5/28/1963
48;48;0;5.58;4/22/1963;6/9/1963
49;49;0;5.58;4/21/1963;6/9/1963
50;50;0;6.03;4/18/1963;6/7/1963
51;51;0;6.23;4/17/1963;6/7/1963
52;52;0;6.42;4/18/1963;6/9/1963
53;53;0;6.619999;4/17/1963;6/9/1963
54;54;0;6.62;4/16/1963;6/9/1963
55;55;0;6.62;4/16/1963;6/10/1963
56;56;0;6.619999;4/16/1963;6/11/1963
57;57;0;6.66;4/17/1963;6/13/1963
58;58;0;6.659999;4/16/1963;6/13/1963
59;59;0;6.66;4/15/1963;6/13/1963
60;60;0;6.66;4/14/1963;6/13/1963
water year = 1963-1964
1;1;0;1.39;6/6/1964;6/7/1964
2;2;1.1875;2.43;4/1/1964;4/3/1964
3;3;0;2.43;4/1/1964;4/4/1964
4;4;0;2.43;3/30/1964;4/3/1964
5;5;0;2.69;4/1/1964;4/6/1964
6;6;0;2.69;3/31/1964;4/6/1964
7;7;0;2.74;4/1/1964;4/8/1964
8;8;0;2.74;4/1/1964;4/9/1964
9;9;0;3.15;3/25/1964;4/3/1964
10;10;0;3.19;3/24/1964;4/3/1964
11;11;0;3.19;3/24/1964;4/4/1964
12;12;0;3.41;3/25/1964;4/6/1964
13;13;0;3.45;3/24/1964;4/6/1964
14;14;0;3.46;3/25/1964;4/8/1964
15;15;0;3.5;3/24/1964;4/8/1964
16;16;0;3.51;3/25/1964;4/10/1964
17;17;0;3.58;4/26/1964;5/13/1964
18;18;0;3.67;4/26/1964;5/14/1964
19;19;0;3.67;4/26/1964;5/15/1964
20;20;0;3.94;4/26/1964;5/16/1964
21;21;0;3.94;4/26/1964;5/17/1964
22;22;0;3.94;4/24/1964;5/16/1964
23;23;0;4.17;4/20/1964;5/13/1964
24;24;0;4.26;4/20/1964;5/14/1964
25;25;0;4.26;4/20/1964;5/15/1964
26;26;0;4.53;4/20/1964;5/16/1964
27;27;0;4.63;3/7/1964;4/3/1964
28;28;0;4.849999;4/1/1964;4/29/1964
29;29;0;5.23;4/1/1964;4/30/1964
30;30;0;5.23;3/31/1964;4/30/1964
31;31;0;5.23;3/31/1964;5/1/1964
32;32;0;5.23;4/1/1964;5/3/1964
33;33;0;5.23;3/29/1964;5/1/1964
34;34;0;5.46;3/27/1964;4/30/1964
35;35;0;5.57;3/25/1964;4/29/1964
36;36;0;5.95;3/25/1964;4/30/1964
37;37;0;6.58;4/1/1964;5/8/1964
38;38;0;6.580001;4/1/1964;5/9/1964
39;39;0;6.58;4/1/1964;5/10/1964
40;40;0;6.580001;3/30/1964;5/9/1964
41;41;0;6.58;3/29/1964;5/9/1964
42;42;0;7.130001;4/1/1964;5/13/1964
